,Geographic Area Name,State,Total Population,Population per square kilometer (Population Density),Population 65 Years and Over,Percent of Population that is 65 Years and Over,Percentage of people whose income in the past 12 months is below the poverty level
1589,Vernon County,Missouri,20691,9.66713820616124,3808,18.4,13.6
1590,Warren County,Missouri,33908,30.5453978435104,5854,17.3,13.3
1591,Washington County,Missouri,24931,12.667908056617,3955,15.9,20.1
1592,Wayne County,Missouri,13308,6.76811829501464,3039,22.8,24.1
1593,Webster County,Missouri,38082,24.8134809852954,5799,15.2,16.8
1594,Worth County,Missouri,2040,2.95410285121492,492,24.1,15.2
1595,Wright County,Missouri,18293,10.3597268382249,3572,19.5,24.9
1596,St. Louis city,Missouri,311273,1946.48852152518,39208,12.6,24.2
1597,Beaverhead County,Montana,9393,0.654314037624461,1994,21.2,15.9
1598,Big Horn County,Montana,13376,1.03335304680883,1576,11.8,26.2
1599,Blaine County,Montana,6727,0.614439102826025,982,14.6,29.6
1600,Broadwater County,Montana,5834,1.88912889975451,1347,23.1,6.9
1601,Carbon County,Montana,10546,1.98848663185587,2557,24.2,10.1
1602,Carter County,Montana,1318,0.152338308116587,335,25.4,13.3
1603,Cascade County,Montana,81746,11.6976558016544,14597,17.9,12.8
1604,Chouteau County,Montana,5789,0.562649284351578,1116,19.3,18.9
1605,Custer County,Montana,11845,1.20883090357743,2216,18.7,9.8
1606,Daniels County,Montana,1753,0.474634871969183,472,26.9,4.2
1607,Dawson County,Montana,9191,1.49611643350748,1644,17.9,9.6
1608,Deer Lodge County,Montana,9100,4.76939372832754,2019,22.2,19.2
1609,Fallon County,Montana,2838,0.676164257411419,499,17.6,9.7
1610,Fergus County,Montana,11273,1.00304204438391,2562,22.7,13.8
1611,Flathead County,Montana,98082,7.44416672424659,17851,18.2,11.7
1612,Gallatin County,Montana,104729,15.522403191253,12315,11.8,11.9
1613,Garfield County,Montana,1141,0.0942022809095075,226,19.8,5.3
1614,Glacier County,Montana,13699,1.76604626614293,1568,11.4,33.3
1615,Golden Valley County,Montana,724,0.238021613661119,181,25.0,14.5
1616,Granite County,Montana,3269,0.730775675057869,936,28.6,8.2
1617,Hill County,Montana,16439,2.18929327414761,2349,14.3,19.4
1618,Jefferson County,Montana,11778,2.74465213584628,2362,20.1,8.8
