,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020
153,9,6,Calaveras,California,25.0
154,13,6,Contra Costa,California,1513.0
155,15,6,Del Norte,California,39.0
156,17,6,El Dorado,California,173.0
157,21,6,Glenn,California,15.0
158,23,6,Humboldt,California,217.0
159,3,54,Berkeley,West Virginia,67.0
160,25,6,Imperial,California,268.0
161,27,6,Inyo,California,29.0
162,29,6,Kern,California,1305.0
163,31,6,Kings,California,142.0
164,33,6,Lake,California,50.0
165,35,6,Lassen,California,25.0
166,37,6,Los Angeles,California,20432.0
167,39,6,Madera,California,106.0
168,41,6,Marin,California,381.0
169,43,6,Mariposa,California,18.0
170,45,6,Mendocino,California,100.0
171,47,6,Merced,California,226.0
172,49,6,Modoc,California,4.0
173,53,6,Monterey,California,709.0
174,55,6,Napa,California,269.0
175,57,6,Nevada,California,129.0
176,59,6,Orange,California,4874.0
177,61,6,Placer,California,337.0
178,63,6,Plumas,California,36.0
179,65,6,Riverside,California,2872.0
180,67,6,Sacramento,California,2643.0
181,69,6,San Benito,California,49.0
182,71,6,San Bernardino,California,3611.0
183,73,6,San Diego,California,4766.0
184,75,6,San Francisco,California,2029.0
185,77,6,San Joaquin,California,1259.0
186,79,6,San Luis Obispo,California,435.0
187,81,6,San Mateo,California,1058.0
188,83,6,Santa Barbara,California,615.0
189,85,6,Santa Clara,California,4272.0
190,87,6,Santa Cruz,California,338.0
191,89,6,Shasta,California,504.0
192,93,6,Siskiyou,California,50.0
193,95,6,Solano,California,438.0
194,97,6,Sonoma,California,729.0
195,99,6,Stanislaus,California,1066.0
196,101,6,Sutter,California,14.0
197,103,6,Tehama,California,49.0
198,105,6,Trinity,California,25.0
199,107,6,Tulare,California,639.0
200,109,6,Tuolumne,California,84.0
201,111,6,Ventura,California,1252.0
202,113,6,Yolo,California,125.0
203,115,6,Yuba,California,149.0
204,1,8,Adams,Colorado,1392.0
205,3,8,Alamosa,Colorado,49.0
206,5,8,Arapahoe,Colorado,795.0
207,35,8,Douglas,Colorado,449.0
208,7,8,Archuleta,Colorado,11.0
209,13,8,Boulder,Colorado,422.0
210,15,8,Chaffee,Colorado,25.0
211,17,8,Cheyenne,Colorado,11.0
212,29,8,Delta,Colorado,49.0
213,31,8,Denver,Colorado,1472.0
214,59,8,Jefferson,Colorado,406.0
215,37,8,Eagle,Colorado,56.0
216,41,8,El Paso,Colorado,515.0
217,43,8,Fremont,Colorado,25.0
218,45,8,Garfield,Colorado,53.0
219,51,8,Gunnison,Colorado,20.0
220,55,8,Huerfano,Colorado,16.0
221,63,8,Kit Carson,Colorado,19.0
222,65,8,Lake,Colorado,8.0
223,67,8,La Plata,Colorado,94.0
224,69,8,Larimer,Colorado,537.0
225,71,8,Las Animas,Colorado,25.0
226,75,8,Logan,Colorado,25.0
227,77,8,Mesa,Colorado,363.0
228,81,8,Moffat,Colorado,25.0
229,83,8,Montezuma,Colorado,25.0
230,85,8,Montrose,Colorado,50.0
231,87,8,Morgan,Colorado,61.0
232,89,8,Otero,Colorado,522.0
233,95,8,Phillips,Colorado,15.0
234,97,8,Pitkin,Colorado,25.0
235,99,8,Prowers,Colorado,25.0
236,101,8,Pueblo,Colorado,318.0
237,103,8,Rio Blanco,Colorado,35.0
238,105,8,Rio Grande,Colorado,17.0
239,107,8,Routt,Colorado,39.0
240,117,8,Summit,Colorado,34.0
241,119,8,Teller,Colorado,15.0
242,123,8,Weld,Colorado,225.0
243,125,8,Yuma,Colorado,30.0
244,1,9,Fairfield,Connecticut,1593.0
245,3,9,Hartford,Connecticut,1854.0
246,5,9,Litchfield,Connecticut,157.0
247,7,9,Middlesex,Connecticut,187.0
248,11,9,New London,Connecticut,401.0
249,13,9,Tolland,Connecticut,152.0
250,15,9,Windham,Connecticut,144.0
251,1,10,Kent,Delaware,281.0
252,5,10,Sussex,Delaware,289.0
253,5,12,Bay,Florida,515.0
254,7,12,Bradford,Florida,25.0
255,9,12,Brevard,Florida,1261.0
256,11,12,Broward,Florida,4205.0
257,15,12,Charlotte,Florida,607.0
258,17,12,Citrus,Florida,332.0
259,19,12,Clay,Florida,273.0
260,21,12,Collier,Florida,101.0
261,23,12,Columbia,Florida,178.0
262,27,12,DeSoto,Florida,49.0
263,31,12,Duval,Florida,2061.0
264,33,12,Escambia,Florida,1183.0
265,35,12,Flagler,Florida,99.0
266,39,12,Gadsden,Florida,24.0
267,49,12,Hardee,Florida,25.0
268,51,12,Hendry,Florida,25.0
269,53,12,Hernando,Florida,400.0
270,55,12,Highlands,Florida,290.0
271,57,12,Hillsborough,Florida,3684.0
272,59,12,Holmes,Florida,20.0
273,61,12,Indian River,Florida,431.0
274,63,12,Jackson,Florida,66.0
275,119,12,Sumter,Florida,277.0
276,69,12,Lake,Florida,717.0
277,71,12,Lee,Florida,1080.0
278,73,12,Leon,Florida,652.0
279,81,12,Manatee,Florida,770.0
280,83,12,Marion,Florida,625.0
281,85,12,Martin,Florida,244.0
282,86,12,Miami-Dade,Florida,6842.0
283,87,12,Monroe,Florida,129.0
284,89,12,Nassau,Florida,54.0
285,91,12,Okaloosa,Florida,364.0
286,93,12,Okeechobee,Florida,100.0
287,95,12,Orange,Florida,3772.0
288,97,12,Osceola,Florida,435.0
289,99,12,Palm Beach,Florida,3757.0
290,101,12,Pasco,Florida,946.0
291,103,12,Pinellas,Florida,2732.0
292,105,12,Polk,Florida,1579.0
293,107,12,Putnam,Florida,99.0
294,109,12,St. Johns,Florida,335.0
295,111,12,St. Lucie,Florida,519.0
296,113,12,Santa Rosa,Florida,194.0
297,115,12,Sarasota,Florida,1176.0
298,117,12,Seminole,Florida,208.0
299,121,12,Suwannee,Florida,25.0
300,123,12,Taylor,Florida,48.0
301,127,12,Volusia,Florida,1158.0
302,131,12,Walton,Florida,112.0
303,133,12,Washington,Florida,25.0
304,1,13,Appling,Georgia,34.0
305,5,13,Bacon,Georgia,25.0
306,9,13,Baldwin,Georgia,103.0
307,13,13,Barrow,Georgia,56.0
308,15,13,Bartow,Georgia,119.0
309,17,13,Ben Hill,Georgia,48.0
310,19,13,Berrien,Georgia,51.0
311,21,13,Bibb,Georgia,883.0
312,23,13,Bleckley,Georgia,15.0
313,27,13,Brooks,Georgia,25.0
314,31,13,Bulloch,Georgia,144.0
315,33,13,Burke,Georgia,40.0
316,35,13,Butts,Georgia,25.0
317,39,13,Camden,Georgia,40.0
318,43,13,Candler,Georgia,25.0
319,45,13,Carroll,Georgia,197.0
320,47,13,Catoosa,Georgia,36.0
321,51,13,Chatham,Georgia,939.0
322,121,13,Fulton,Georgia,3308.0
323,57,13,Cherokee,Georgia,150.0
324,59,13,Clarke,Georgia,522.0
325,63,13,Clayton,Georgia,244.0
326,65,13,Clinch,Georgia,15.0
327,67,13,Cobb,Georgia,1000.0
328,69,13,Coffee,Georgia,86.0
329,71,13,Colquitt,Georgia,127.0
330,75,13,Cook,Georgia,33.0
331,77,13,Coweta,Georgia,150.0
332,81,13,Crisp,Georgia,65.0
333,87,13,Decatur,Georgia,80.0
334,89,13,DeKalb,Georgia,1549.0
335,91,13,Dodge,Georgia,40.0
336,95,13,Dougherty,Georgia,405.0
337,97,13,Douglas,Georgia,102.0
338,99,13,Early,Georgia,25.0
339,103,13,Effingham,Georgia,25.0
340,105,13,Elbert,Georgia,52.0
341,107,13,Emanuel,Georgia,45.0
342,109,13,Evans,Georgia,49.0
343,111,13,Fannin,Georgia,50.0
344,113,13,Fayette,Georgia,221.0
345,115,13,Floyd,Georgia,435.0
346,117,13,Forsyth,Georgia,304.0
347,119,13,Franklin,Georgia,56.0
348,127,13,Glynn,Georgia,300.0
349,129,13,Gordon,Georgia,69.0
350,131,13,Grady,Georgia,44.0
351,135,13,Gwinnett,Georgia,668.0
352,137,13,Habersham,Georgia,53.0
353,139,13,Hall,Georgia,542.0
354,143,13,Haralson,Georgia,15.0
355,151,13,Henry,Georgia,215.0
356,153,13,Houston,Georgia,276.0
357,155,13,Irwin,Georgia,34.0
358,157,13,Jackson,Georgia,28.0
359,159,13,Jasper,Georgia,12.0
360,161,13,Jeff Davis,Georgia,25.0
361,163,13,Jefferson,Georgia,37.0
362,173,13,Lanier,Georgia,25.0
363,175,13,Laurens,Georgia,485.0
364,179,13,Liberty,Georgia,25.0
365,185,13,Lowndes,Georgia,257.0
366,189,13,McDuffie,Georgia,25.0
367,193,13,Macon,Georgia,22.0
368,199,13,Meriwether,Georgia,25.0
369,201,13,Miller,Georgia,25.0
370,205,13,Mitchell,Georgia,25.0
371,207,13,Monroe,Georgia,25.0
372,213,13,Murray,Georgia,29.0
373,215,13,Muscogee,Georgia,704.0
374,217,13,Newton,Georgia,94.0
375,223,13,Paulding,Georgia,112.0
376,225,13,Peach,Georgia,25.0
377,227,13,Pickens,Georgia,52.0
378,233,13,Polk,Georgia,25.0
379,235,13,Pulaski,Georgia,55.0
380,133,13,Greene,Georgia,25.0
381,243,13,Randolph,Georgia,25.0
382,245,13,Richmond,Georgia,1514.0
383,247,13,Rockdale,Georgia,138.0
384,253,13,Seminole,Georgia,45.0
385,255,13,Spalding,Georgia,160.0
386,257,13,Stephens,Georgia,74.0
387,261,13,Sumter,Georgia,54.0
388,275,13,Thomas,Georgia,226.0
389,277,13,Tift,Georgia,181.0
390,279,13,Toombs,Georgia,52.0
391,281,13,Towns,Georgia,25.0
392,285,13,Troup,Georgia,276.0
393,291,13,Union,Georgia,39.0
394,293,13,Upson,Georgia,87.0
395,297,13,Walton,Georgia,76.0
396,299,13,Ware,Georgia,134.0
397,303,13,Washington,Georgia,56.0
398,305,13,Wayne,Georgia,88.0
399,313,13,Whitfield,Georgia,245.0
400,317,13,Wilkes,Georgia,25.0
401,321,13,Worth,Georgia,25.0
402,1,15,Hawaii,Hawaii,273.0
403,3,15,Honolulu,Hawaii,1610.0
404,7,15,Kauai,Hawaii,72.0
405,9,15,Maui,Hawaii,243.0
406,5,16,Bannock,Idaho,137.0
407,13,16,Blaine,Idaho,25.0
408,17,16,Bonner,Idaho,25.0
409,19,16,Bonneville,Idaho,254.0
410,27,16,Canyon,Idaho,212.0
411,31,16,Cassia,Idaho,31.0
412,55,16,Kootenai,Idaho,331.0
413,57,16,Latah,Idaho,25.0
414,59,16,Lemhi,Idaho,18.0
415,65,16,Madison,Idaho,67.0
416,69,16,Nez Perce,Idaho,110.0
417,83,16,Twin Falls,Idaho,186.0
418,1,17,Adams,Illinois,248.0
419,5,17,Bond,Illinois,32.0
420,11,17,Bureau,Illinois,69.0
421,19,17,Champaign,Illinois,570.0
422,21,17,Christian,Illinois,47.0
423,25,17,Clay,Illinois,20.0
424,27,17,Clinton,Illinois,46.0
425,29,17,Coles,Illinois,82.0
426,31,17,Cook,Illinois,13171.0
427,33,17,Crawford,Illinois,25.0
428,37,17,DeKalb,Illinois,123.0
429,39,17,De Witt,Illinois,15.0
430,43,17,DuPage,Illinois,1513.0
431,49,17,Effingham,Illinois,133.0
432,53,17,Ford,Illinois,25.0
433,57,17,Fulton,Illinois,43.0
434,61,17,Greene,Illinois,25.0
435,63,17,Grundy,Illinois,89.0
436,65,17,Hamilton,Illinois,25.0
437,69,17,Hardin,Illinois,25.0
438,73,17,Henry,Illinois,50.0
439,75,17,Iroquois,Illinois,25.0
440,77,17,Jackson,Illinois,179.0
441,81,17,Jefferson,Illinois,171.0
442,83,17,Jersey,Illinois,46.0
443,85,17,Jo Daviess,Illinois,18.0
444,89,17,Kane,Illinois,923.0
445,91,17,Kankakee,Illinois,460.0
446,95,17,Knox,Illinois,177.0
447,97,17,Lake,Illinois,926.0
448,99,17,LaSalle,Illinois,164.0
449,101,17,Lawrence,Illinois,25.0
450,103,17,Lee,Illinois,66.0
451,105,17,Livingston,Illinois,42.0
452,107,17,Logan,Illinois,25.0
453,109,17,McDonough,Illinois,45.0
454,111,17,McHenry,Illinois,309.0
455,113,17,McLean,Illinois,343.0
456,115,17,Macon,Illinois,446.0
