,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020
199,107,6,Tulare,California,723.0
200,109,6,Tuolumne,California,72.0
201,111,6,Ventura,California,1243.0
202,113,6,Yolo,California,122.0
203,115,6,Yuba,California,221.0
204,1,8,Adams,Colorado,1497.0
205,3,8,Alamosa,Colorado,49.0
206,5,8,Arapahoe,Colorado,985.0
207,35,8,Douglas,Colorado,454.0
208,7,8,Archuleta,Colorado,11.0
209,13,8,Boulder,Colorado,534.0
210,15,8,Chaffee,Colorado,25.0
211,17,8,Cheyenne,Colorado,25.0
212,29,8,Delta,Colorado,49.0
213,31,8,Denver,Colorado,2471.0
214,59,8,Jefferson,Colorado,575.0
215,37,8,Eagle,Colorado,56.0
216,41,8,El Paso,Colorado,947.0
217,43,8,Fremont,Colorado,25.0
218,45,8,Garfield,Colorado,103.0
219,51,8,Gunnison,Colorado,24.0
220,55,8,Huerfano,Colorado,20.0
221,63,8,Kit Carson,Colorado,19.0
222,65,8,Lake,Colorado,25.0
223,67,8,La Plata,Colorado,94.0
224,69,8,Larimer,Colorado,567.0
225,71,8,Las Animas,Colorado,25.0
226,75,8,Logan,Colorado,25.0
227,77,8,Mesa,Colorado,459.0
228,81,8,Moffat,Colorado,25.0
229,83,8,Montezuma,Colorado,25.0
230,85,8,Montrose,Colorado,75.0
231,87,8,Morgan,Colorado,75.0
232,89,8,Otero,Colorado,25.0
233,95,8,Phillips,Colorado,15.0
234,97,8,Pitkin,Colorado,25.0
235,99,8,Prowers,Colorado,25.0
236,101,8,Pueblo,Colorado,758.0
237,103,8,Rio Blanco,Colorado,35.0
238,105,8,Rio Grande,Colorado,17.0
239,107,8,Routt,Colorado,39.0
240,117,8,Summit,Colorado,35.0
241,119,8,Teller,Colorado,15.0
242,123,8,Weld,Colorado,378.0
243,125,8,Yuma,Colorado,30.0
244,1,9,Fairfield,Connecticut,1593.0
245,3,9,Hartford,Connecticut,2019.0
246,5,9,Litchfield,Connecticut,157.0
247,7,9,Middlesex,Connecticut,187.0
248,11,9,New London,Connecticut,401.0
249,13,9,Tolland,Connecticut,152.0
250,15,9,Windham,Connecticut,144.0
251,1,10,Kent,Delaware,266.0
252,5,10,Sussex,Delaware,349.0
253,5,12,Bay,Florida,546.0
254,7,12,Bradford,Florida,49.0
255,9,12,Brevard,Florida,1327.0
256,11,12,Broward,Florida,5218.0
257,15,12,Charlotte,Florida,715.0
258,17,12,Citrus,Florida,332.0
259,19,12,Clay,Florida,317.0
260,21,12,Collier,Florida,105.0
261,23,12,Columbia,Florida,190.0
262,27,12,DeSoto,Florida,49.0
263,31,12,Duval,Florida,2348.0
264,33,12,Escambia,Florida,1573.0
265,35,12,Flagler,Florida,99.0
266,39,12,Gadsden,Florida,949.0
267,49,12,Hardee,Florida,25.0
268,51,12,Hendry,Florida,25.0
269,53,12,Hernando,Florida,470.0
270,55,12,Highlands,Florida,273.0
271,57,12,Hillsborough,Florida,4176.0
272,59,12,Holmes,Florida,20.0
273,61,12,Indian River,Florida,486.0
274,63,12,Jackson,Florida,100.0
275,119,12,Sumter,Florida,307.0
276,69,12,Lake,Florida,805.0
277,71,12,Lee,Florida,1440.0
278,73,12,Leon,Florida,1038.0
279,81,12,Manatee,Florida,798.0
280,83,12,Marion,Florida,681.0
281,85,12,Martin,Florida,244.0
282,86,12,Miami-Dade,Florida,6730.0
283,87,12,Monroe,Florida,147.0
284,89,12,Nassau,Florida,62.0
285,91,12,Okaloosa,Florida,412.0
286,93,12,Okeechobee,Florida,100.0
287,95,12,Orange,Florida,2478.0
288,97,12,Osceola,Florida,488.0
289,99,12,Palm Beach,Florida,4230.0
290,101,12,Pasco,Florida,987.0
291,103,12,Pinellas,Florida,3353.0
292,105,12,Polk,Florida,1736.0
293,107,12,Putnam,Florida,99.0
