,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020,05/25/2020
125,59,5,Hot Spring,Arkansas,2.0,2.0
126,19,45,Charleston,South Carolina,0.0,0.0
127,61,5,Howard,Arkansas,2.0,2.0
128,63,5,Independence,Arkansas,4.0,4.0
129,69,5,Jefferson,Arkansas,7.0,7.0
130,71,5,Johnson,Arkansas,2.0,2.0
131,75,5,Lawrence,Arkansas,2.0,2.0
132,83,5,Logan,Arkansas,1.5,1.5
133,93,5,Mississippi,Arkansas,1.5,1.5
134,103,5,Ouachita,Arkansas,2.0,2.0
135,107,5,Phillips,Arkansas,2.0,2.0
136,113,5,Polk,Arkansas,2.0,2.0
137,115,5,Pope,Arkansas,4.0,4.0
138,119,5,Pulaski,Arkansas,6.333333333333332,6.333333333333333
139,121,5,Randolph,Arkansas,1.0,1.0
140,123,5,St. Francis,Arkansas,2.0,2.0
141,125,5,Saline,Arkansas,3.0,3.0
142,127,5,Scott,Arkansas,1.0,1.0
143,131,5,Sebastian,Arkansas,10.5,10.5
144,137,5,Stone,Arkansas,1.0,1.0
145,139,5,Union,Arkansas,3.0,3.0
146,141,5,Van Buren,Arkansas,2.0,2.0
147,143,5,Washington,Arkansas,3.75,3.75
148,145,5,White,Arkansas,8.0,8.0
149,149,5,Yell,Arkansas,1.5,1.5
150,1,6,Alameda,California,6.4444444444444455,6.444444444444445
151,5,6,Amador,California,3.0,3.0
152,7,6,Butte,California,8.5,8.5
153,9,6,Calaveras,California,2.0,2.0
154,13,6,Contra Costa,California,6.2857142857142865,6.285714285714286
155,15,6,Del Norte,California,3.0,3.0
156,17,6,El Dorado,California,3.0,3.0
157,21,6,Glenn,California,1.0,1.0
158,23,6,Humboldt,California,3.0,3.0
159,3,54,Berkeley,West Virginia,2.0,2.0
160,25,6,Imperial,California,4.5,4.5
161,27,6,Inyo,California,1.0,1.0
162,29,6,Kern,California,3.2,3.2
163,31,6,Kings,California,5.0,5.0
164,33,6,Lake,California,2.5,2.5
165,35,6,Lassen,California,1.0,1.0
166,37,6,Los Angeles,California,6.050632911392405,6.050632911392405
167,39,6,Madera,California,3.0,3.0
168,41,6,Marin,California,3.333333333333333,3.3333333333333335
169,43,6,Mariposa,California,2.0,2.0
170,45,6,Mendocino,California,2.0,2.0
171,47,6,Merced,California,6.0,6.0
172,49,6,Modoc,California,0.0,0.0
173,53,6,Monterey,California,3.5,3.5
174,55,6,Napa,California,4.5,4.5
175,57,6,Nevada,California,3.5,3.5
176,59,6,Orange,California,5.9523809523809526,5.9523809523809526
177,61,6,Placer,California,8.0,8.0
178,63,6,Plumas,California,1.0,1.0
179,65,6,Riverside,California,5.384615384615384,5.384615384615385
180,67,6,Sacramento,California,10.777777777777779,10.777777777777779
181,69,6,San Benito,California,2.0,2.0
182,71,6,San Bernardino,California,5.333333333333333,5.333333333333333
183,73,6,San Diego,California,10.125,10.125
184,75,6,San Francisco,California,3.6,3.6
185,77,6,San Joaquin,California,6.7142857142857135,6.714285714285714
186,79,6,San Luis Obispo,California,3.25,3.25
187,81,6,San Mateo,California,3.0,3.0
188,83,6,Santa Barbara,California,5.2,5.2
189,85,6,Santa Clara,California,7.909090909090909,7.909090909090909
190,87,6,Santa Cruz,California,4.333333333333333,4.333333333333333
191,89,6,Shasta,California,7.75,7.75
192,93,6,Siskiyou,California,2.0,2.0
193,95,6,Solano,California,4.333333333333333,4.333333333333333
194,97,6,Sonoma,California,4.285714285714286,4.285714285714286
195,99,6,Stanislaus,California,8.8,8.8
196,101,6,Sutter,California,0.0,0.0
197,103,6,Tehama,California,4.0,4.0
198,105,6,Trinity,California,1.0,1.0
199,107,6,Tulare,California,5.666666666666668,5.666666666666667
200,109,6,Tuolumne,California,5.0,5.0
201,111,6,Ventura,California,5.0,5.0
202,113,6,Yolo,California,3.5,3.5
203,115,6,Yuba,California,12.0,12.0
204,1,8,Adams,Colorado,7.0,7.0
205,3,8,Alamosa,Colorado,2.0,2.0
206,5,8,Arapahoe,Colorado,7.333333333333332,7.333333333333333
207,35,8,Douglas,Colorado,3.5,3.5
208,7,8,Archuleta,Colorado,1.0,1.0
209,13,8,Boulder,Colorado,3.333333333333333,3.3333333333333335
210,15,8,Chaffee,Colorado,2.0,2.0
211,17,8,Cheyenne,Colorado,1.0,1.0
212,29,8,Delta,Colorado,2.0,2.0
213,31,8,Denver,Colorado,3.6666666666666665,3.6666666666666665
214,59,8,Jefferson,Colorado,8.0,8.0
